cat_feature,slice,precision,recall,fbeta
workclass,Private,1.0,1.0,1.0
workclass,Local-gov,1.0,1.0,1.0
workclass,Self-emp-not-inc,1.0,1.0,1.0
workclass,?,1.0,1.0,1.0
workclass,Federal-gov,1.0,1.0,1.0
workclass,Self-emp-inc,1.0,1.0,1.0
workclass,State-gov,1.0,1.0,1.0
workclass,Never-worked,1.0,1.0,1.0
workclass,Without-pay,1.0,1.0,1.0
education,5th-6th,1.0,1.0,1.0
education,Some-college,1.0,1.0,1.0
education,HS-grad,1.0,1.0,1.0
education,Bachelors,1.0,1.0,1.0
education,11th,1.0,1.0,1.0
education,Doctorate,1.0,1.0,1.0
education,7th-8th,1.0,1.0,1.0
education,10th,1.0,1.0,1.0
education,Masters,1.0,1.0,1.0
education,Assoc-acdm,1.0,1.0,1.0
education,9th,1.0,1.0,1.0
education,Assoc-voc,1.0,1.0,1.0
education,12th,1.0,1.0,1.0
education,Prof-school,1.0,1.0,1.0
education,1st-4th,1.0,1.0,1.0
education,Preschool,1.0,1.0,1.0
marital-status,Married-civ-spouse,1.0,1.0,1.0
marital-status,Never-married,1.0,1.0,1.0
marital-status,Divorced,1.0,1.0,1.0
marital-status,Separated,1.0,1.0,1.0
marital-status,Widowed,1.0,1.0,1.0
marital-status,Married-spouse-absent,1.0,1.0,1.0
marital-status,Married-AF-spouse,1.0,1.0,1.0
occupation,Transport-moving,1.0,1.0,1.0
occupation,Adm-clerical,1.0,1.0,1.0
occupation,Handlers-cleaners,1.0,1.0,1.0
occupation,Craft-repair,1.0,1.0,1.0
occupation,Sales,1.0,1.0,1.0
occupation,Exec-managerial,1.0,1.0,1.0
occupation,Other-service,1.0,1.0,1.0
occupation,Farming-fishing,1.0,1.0,1.0
occupation,Machine-op-inspct,1.0,1.0,1.0
occupation,?,1.0,1.0,1.0
occupation,Tech-support,1.0,1.0,1.0
occupation,Prof-specialty,1.0,1.0,1.0
occupation,Protective-serv,1.0,1.0,1.0
occupation,Priv-house-serv,1.0,1.0,1.0
occupation,Armed-Forces,1.0,1.0,1.0
relationship,Husband,1.0,1.0,1.0
relationship,Own-child,1.0,1.0,1.0
relationship,Other-relative,1.0,1.0,1.0
relationship,Not-in-family,1.0,1.0,1.0
relationship,Wife,1.0,1.0,1.0
relationship,Unmarried,1.0,1.0,1.0
race,White,1.0,1.0,1.0
race,Black,1.0,1.0,1.0
race,Asian-Pac-Islander,1.0,1.0,1.0
race,Amer-Indian-Eskimo,1.0,1.0,1.0
race,Other,1.0,1.0,1.0
sex,Male,1.0,1.0,1.0
sex,Female,1.0,1.0,1.0
native-country,United-States,1.0,1.0,1.0
native-country,Guatemala,1.0,1.0,1.0
native-country,Japan,1.0,1.0,1.0
native-country,Canada,1.0,1.0,1.0
native-country,Germany,1.0,1.0,1.0
native-country,Yugoslavia,1.0,1.0,1.0
native-country,Poland,1.0,1.0,1.0
native-country,Jamaica,1.0,1.0,1.0
native-country,China,1.0,1.0,1.0
native-country,Puerto-Rico,1.0,1.0,1.0
native-country,?,1.0,1.0,1.0
native-country,El-Salvador,1.0,1.0,1.0
native-country,Mexico,1.0,1.0,1.0
native-country,Thailand,1.0,1.0,1.0
native-country,Italy,1.0,1.0,1.0
native-country,Philippines,1.0,1.0,1.0
native-country,India,1.0,1.0,1.0
native-country,Taiwan,1.0,1.0,1.0
native-country,Iran,1.0,1.0,1.0
native-country,Cuba,1.0,1.0,1.0
native-country,South,1.0,1.0,1.0
native-country,England,1.0,1.0,1.0
native-country,Portugal,1.0,1.0,1.0
native-country,Haiti,1.0,1.0,1.0
native-country,Nicaragua,1.0,1.0,1.0
native-country,Vietnam,1.0,1.0,1.0
native-country,Laos,1.0,1.0,1.0
native-country,Dominican-Republic,1.0,1.0,1.0
native-country,Columbia,1.0,1.0,1.0
native-country,Hungary,1.0,1.0,1.0
native-country,Peru,1.0,1.0,1.0
native-country,Hong,1.0,1.0,1.0
native-country,Cambodia,1.0,1.0,1.0
native-country,Honduras,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country,Ecuador,1.0,1.0,1.0
native-country,France,1.0,1.0,1.0
native-country,Ireland,1.0,1.0,1.0
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,Greece,1.0,1.0,1.0
native-country,Scotland,1.0,1.0,1.0
